DATAFLOW,LAST UPDATE,freq,product,consom,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2007-S2,0.0753,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2008-S1,0.0729,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2008-S2,0.0752,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2009-S1,0.0785,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2009-S2,0.0758,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2010-S1,0.0756,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2010-S2,0.0736,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2011-S1,0.0833,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2011-S2,0.0874,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2012-S1,0.0919,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2012-S2,0.0919,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2013-S1,0.0918,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2013-S2,0.0904,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2014-S1,0.0902,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2014-S2,0.0887,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2015-S1,0.0879,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2015-S2,0.0861,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2016-S1,0.0854,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2016-S2,0.0837,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2017-S1,0.0837,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2017-S2,0.1084,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2018-S1,0.0977,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2018-S2,0.1040,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2019-S1,0.0964,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2019-S2,0.1030,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2020-S1,0.0978,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2020-S2,0.1014,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2021-S1,0.0972,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,AT,2021-S2,0.1057,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,BA,2011-S1,0.0452,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,BA,2011-S2,0.0536,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,BA,2012-S1,0.0555,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,BA,2012-S2,0.0555,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,BA,2013-S1,0.0555,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,BA,2013-S2,0.0512,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,BA,2014-S1,0.0512,
ESTAT:NRG_PC_202(1.0),08/04/22 11:00:00,S,4100,4141901,KWH,I_TAX,EUR,BA,2014-S2,0.0512,
