DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-05,7.47,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-06,18.15,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-07,58.76,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-08,43.12,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-09,16.59,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-10,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-11,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1979-12,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-05,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-06,12.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-07,33.61,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-08,60.97,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-09,44.20,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-10,6.52,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-11,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1980-12,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-05,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-06,63.89,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-07,81.22,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-08,53.21,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-09,29.24,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-10,0.36,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-11,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1981-12,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1982-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1982-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1982-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1982-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1982-05,0.60,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1982-06,15.71,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1982-07,18.09,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1982-08,56.12,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1982-09,33.12,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1982-10,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,PT,1982-11,0.00,
