DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-05,0.42,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-06,5.82,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-07,13.78,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-08,13.70,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-09,2.75,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-10,0.09,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-11,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1979-12,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-03,0.01,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-04,0.01,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-05,0.05,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-06,3.18,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-07,9.94,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-08,18.53,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-09,4.98,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-10,0.42,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-11,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1980-12,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-03,0.01,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-05,0.04,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-06,10.81,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-07,12.19,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-08,15.12,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-09,3.80,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-10,0.20,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-11,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1981-12,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-05,0.28,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-06,8.09,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-07,20.33,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-08,14.74,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-09,4.73,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-10,0.04,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-11,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1982-12,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-04,0.01,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-05,0.17,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-06,4.61,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-07,28.40,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-08,9.41,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-09,5.99,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-10,0.35,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-11,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1983-12,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1984-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1984-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1984-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1984-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1984-05,0.09,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1984-06,2.10,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1984-07,17.35,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1984-08,8.18,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1984-09,2.55,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,EU27_2020,1984-10,0.22,
