DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-01,352.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-02,336.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-03,312.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-04,281.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-05,333.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-06,325.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-07,356.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-08,325.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-09,450.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-10,308.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-11,321.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2014-12,327.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-01,403.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-02,336.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-03,320.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-04,369.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-05,347.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-06,432.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-07,462.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-08,379.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-09,413.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-10,410.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-11,410.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2015-12,393.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-01,379.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-02,331.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-03,367.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-04,331.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-05,343.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-06,414.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-07,482.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-08,448.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-09,519.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-10,519.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-11,502.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2016-12,509.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-01,511.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-02,488.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-03,497.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-04,465.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-05,493.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-06,546.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-07,599.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-08,600.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-09,541.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-10,494.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-11,496.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2017-12,476.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-01,567.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-02,468.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-03,388.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-04,352.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-05,449.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-06,511.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-07,555.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-08,535.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-09,541.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-10,470.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-11,466.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2018-12,446.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-01,498.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-02,441.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-03,381.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-04,448.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-05,513.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-06,555.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-07,587.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-08,543.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-09,529.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-10,542.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-11,529.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2019-12,461.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2020-01,581.962,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2020-02,519.791,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2020-03,447.835,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2020-04,362.218,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,PT,2020-05,385.449,
