DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-01,43998.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-02,36881.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-03,32070.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-04,23731.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-05,23110.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-06,19391.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-07,20871.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-08,18581.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-09,21662.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-10,26536.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-11,36296.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2014-12,43090.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-01,46529.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-02,43018.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-03,37580.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-04,27758.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-05,21832.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-06,19611.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-07,20306.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-08,18431.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-09,21805.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-10,30508.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-11,34879.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2015-12,39931.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-01,49373.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-02,40623.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-03,37129.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-04,27435.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-05,22559.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-06,19530.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-07,20374.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-08,19733.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-09,22365.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-10,32328.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-11,42086.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2016-12,48929.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-01,57611.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-02,41955.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-03,36511.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-04,30493.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-05,24838.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-06,21756.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-07,23110.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-08,21638.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-09,24641.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-10,30246.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-11,42834.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2017-12,48249.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-01,45929.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-02,49279.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-03,45032.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-04,26103.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-05,21894.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-06,21188.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-07,20844.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-08,21247.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-09,23224.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-10,30092.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-11,40854.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2018-12,44007.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2019-01,55249.901,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2019-02,43352.062,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2019-03,39181.973,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2019-04,30177.181,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2019-05,27718.134,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IC_OBS,G3000,MIO_M3,EU27_2020,2019-06,21412.232,
