DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-01,32.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-02,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-03,39.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-04,104.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-05,78.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-06,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-07,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-08,4.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-09,78.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-10,8.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-11,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2014-12,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-01,85.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-02,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-03,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-04,81.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-05,35.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-06,47.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-07,58.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-08,101.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-09,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-10,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-11,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2015-12,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-01,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-02,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-03,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-04,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-05,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-06,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-07,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-08,85.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-09,81.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-10,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-11,81.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2016-12,1.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-01,36.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-02,4.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-03,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-04,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-05,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-06,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-07,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-08,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-09,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-10,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-11,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2017-12,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-01,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-02,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-03,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-04,3.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-05,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-06,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-07,2.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-08,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-09,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-10,3.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-11,1.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2018-12,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-01,34.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-02,43.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-03,33.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-04,2.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-05,4.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-06,12.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-07,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-08,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-09,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-10,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-11,8.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2019-12,16.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2020-01,33.556,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2020-02,20.288,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2020-03,5.316,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2020-04,52.867,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2020-05,11.379,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2020-08,3.090,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2020-09,2.507,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2020-11,3.867,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2020-12,27.051,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-01,24.323,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-02,4.312,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-03,43.730,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-04,9.557,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-05,3.423,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-06,0.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-07,3.944,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-08,39.647,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-09,46.928,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-10,6.401,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-11,7.556,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2021-12,5.271,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2022-01,3.262,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2022-02,59.935,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,PT,2022-03,43.191,
