DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-01,32228.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-02,27067.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-03,29009.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-04,27586.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-05,28437.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-06,26054.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-07,25070.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-08,23486.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-09,25390.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-10,26564.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-11,27497.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2014-12,30445.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-01,29279.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-02,26575.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-03,28546.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-04,26506.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-05,25333.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-06,24303.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-07,25296.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-08,24174.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-09,24718.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-10,25908.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-11,26308.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2015-12,29635.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-01,27302.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-02,27151.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-03,29101.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-04,24725.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-05,25796.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-06,23115.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-07,24752.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-08,23868.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-09,25945.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-10,29941.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-11,32146.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2016-12,34012.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2017-01,37434.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2017-02,28818.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,EXP,G3000,MIO_M3,EU27_2020,2017-03,26180.000,
