DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-01,324.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-02,356.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-03,405.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-04,355.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-05,412.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-06,334.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-07,401.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-08,365.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-09,342.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-10,401.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-11,343.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2014-12,415.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2015-01,379.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2015-02,310.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2015-03,389.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2015-04,428.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2015-05,496.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2015-06,431.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2015-07,512.000,
