DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-01,53575.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-02,44978.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-03,48792.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-04,47342.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-05,50724.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-06,46070.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-07,47634.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-08,42248.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-09,43615.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-10,47023.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-11,48260.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2014-12,48284.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-01,46359.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-02,41279.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-03,48523.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-04,47827.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-05,48967.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-06,46652.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-07,51141.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-08,47568.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-09,49121.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-10,51296.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-11,48508.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2015-12,53021.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-01,49993.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-02,48277.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-03,50915.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-04,49236.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-05,50808.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-06,48298.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-07,51430.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-08,46568.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-09,47762.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-10,55174.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-11,55193.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2016-12,57346.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-01,62968.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-02,51686.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-03,51121.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-04,54044.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-05,54871.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-06,49826.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-07,54173.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-08,55309.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-09,51124.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-10,55980.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-11,58051.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2017-12,61151.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-01,54512.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-02,54887.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-03,58543.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-04,55721.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-05,58013.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-06,53982.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-07,53554.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-08,56489.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-09,55222.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-10,53918.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-11,55365.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2018-12,57641.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-01,60681.338,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-02,51702.833,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-03,59534.468,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-04,60613.796,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-05,63125.410,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-06,56971.202,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-07,55501.890,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-08,52196.403,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-09,51065.550,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-10,54044.590,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-11,58434.247,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2019-12,60261.413,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-01,53494.821,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-02,52303.272,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-03,57585.750,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-04,55744.085,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-05,55631.153,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-06,53759.367,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-07,49209.580,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-08,52430.119,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-09,51160.984,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-10,51689.407,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-11,52359.186,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2020-12,55198.656,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-01,58162.353,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-02,46657.767,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-03,58372.094,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-04,58654.561,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-05,58007.794,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-06,51686.409,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-07,49770.504,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-08,50822.099,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-09,50665.116,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-10,52817.374,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-11,50200.832,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2021-12,55139.796,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2022-01,51406.043,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,EU27_2020,2022-02,48221.570,
